frame_index,x_centroid,y_centroid,visibility_flag
1,913,666,1
2,1200,186,1
3,1229,137,1
4,1229,138,1
5,1226,143,1
6,1223,147,1
7,1221,151,1
8,1219,155,1
9,1218,157,1
10,1216,159,1
11,1215,161,1
12,1215,162,1
13,1214,163,1
14,1214,163,1
15,1214,163,1
16,1214,163,1
17,1214,163,1
18,1214,163,1
19,1214,163,1
20,1214,163,1
21,1214,163,1
22,1214,163,1
23,1214,163,1
24,1214,163,1
25,1214,163,1
26,1214,163,1
27,1214,163,1
28,1214,163,1
29,1214,164,1
30,1214,163,1
31,1214,163,1
32,1214,163,1
33,1214,163,1
34,1215,163,1
35,1215,163,1
36,1038,292,1
37,929,371,1
38,861,421,0
39,792,471,0
40,724,521,0
41,655,571,0
42,872,409,1
43,886,398,1
44,900,389,1
45,909,383,1
46,922,381,1
47,930,379,1
48,943,382,1
49,950,384,1
50,958,384,0
51,965,385,0
52,973,386,0
53,980,386,0
54,1338,249,1
55,1391,230,1
56,1416,221,1
57,1423,218,1
58,1419,219,1
59,1411,222,1
60,1402,225,1
61,1395,228,1
62,1389,230,1
63,1384,231,1
64,1382,233,1
65,1380,233,1
66,1380,233,1
67,1379,233,1
68,1379,233,1
69,1379,233,1
70,1380,233,1
71,1238,496,1
72,1293,395,1
73,1408,772,1
74,1481,999,1
75,1522,1121,1
76,1542,1174,1
77,1549,1186,1
78,1549,1177,1
79,1544,1158,1
80,1539,1139,1
81,1534,1122,1
82,1530,1108,1
83,1527,1099,1
84,1525,1093,1
85,1524,1089,1
86,1448,639,1
87,1477,810,1
88,1497,935,1
89,1511,1018,1
90,1519,1068,1
91,1449,646,1
92,1480,831,1
93,1426,510,1
94,1469,763,1
95,1422,485,1
96,1469,763,1
97,1500,945,1
98,1519,1054,1
99,1529,1111,1
100,1533,1135,1
101,1534,1140,1
102,1532,1134,1
103,1530,1124,1
104,1529,1114,1
105,1527,1105,1
106,1526,1098,1
107,1525,1093,1
108,1524,1090,1
109,1524,1089,1
110,1524,1088,1
111,1524,1087,1
112,1524,1087,1
113,1524,1087,1
114,1524,1087,1
115,1524,1087,1
116,1523,1087,1
117,1523,1087,1
118,1523,1088,1
119,1523,1088,1
120,1523,1087,1
121,1523,1087,1
122,1523,1087,1
123,1523,1087,1
124,1523,1087,1
125,1523,1087,1
126,1524,1088,1
127,1524,1088,1
128,1779,965,1
129,1937,890,1
130,2023,848,1
131,2063,830,1
132,2063,759,1
133,2053,721,1
134,2038,704,1
135,2060,667,0
136,2081,631,0
137,2103,594,0
138,2013,703,1
139,2001,715,1
140,1994,721,1
141,1991,725,1
142,1990,727,1
143,1989,728,1
144,1743,919,1
145,1593,1035,1
146,1756,909,1
147,1625,1010,1
148,1546,1070,1
149,1752,914,1
150,1641,999,1
151,1570,1053,1
152,1529,1084,1
153,1509,1100,1
154,1502,1105,1
155,1502,1105,1
156,1505,1102,1
157,1509,1099,1
158,1514,1095,1
159,1517,1092,1
160,1520,1090,1
161,1522,1089,1
162,1523,1088,1
163,1523,1087,1
164,1770,899,1
165,1922,784,1
166,2005,721,1
167,2042,692,1
168,2053,684,1
169,2048,687,1
170,2038,695,1
171,2026,704,1
172,2015,713,1
173,2007,719,1
174,2000,724,1
175,1996,727,1
176,1994,729,1
177,1993,730,1
178,1992,730,1
