epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.416,1.27847,2.26839,1.13153,0.81156,0.69565,0.78917,0.56606,0.97828,1.82599,1.21458,0.000660714,0.000660714,0.000660714
2,1116.2,1.36897,1.61481,1.2111,0.77227,0.68478,0.7364,0.44737,1.32787,2.15258,1.5208,0.0013011,0.0013011,0.0013011
3,1735.04,1.40338,1.38811,1.21855,0.91581,0.68478,0.82086,0.54757,1.14121,1.47632,1.42452,0.00191508,0.00191508,0.00191508
4,2417.31,1.37909,1.17192,1.21167,0.70046,0.82609,0.81353,0.62231,0.94447,1.15399,1.1892,0.0018812,0.0018812,0.0018812
5,3129.44,1.31001,1.06419,1.18428,0.81593,0.78261,0.85656,0.65268,0.89524,1.04507,1.16309,0.0018416,0.0018416,0.0018416
6,3799.39,1.27386,1.00631,1.1551,0.91576,0.8271,0.93367,0.72317,0.85563,0.98916,1.13641,0.001802,0.001802,0.001802
7,4509.71,1.2725,0.9409,1.13903,0.83529,0.8587,0.91617,0.68256,0.95832,0.78513,1.17654,0.0017624,0.0017624,0.0017624
8,5391.78,1.24602,0.90169,1.13643,0.86622,0.70381,0.83642,0.6189,0.93083,0.99767,1.19252,0.0017228,0.0017228,0.0017228
9,6225.25,1.23642,0.88403,1.11346,0.88914,0.90217,0.95056,0.77123,0.74799,0.65922,1.01621,0.0016832,0.0016832,0.0016832
10,7070.64,1.25074,0.87289,1.13237,0.94742,0.84783,0.92892,0.74521,0.84674,0.6555,1.05749,0.0016436,0.0016436,0.0016436
11,7812.39,1.19396,0.8197,1.11097,0.90586,0.76087,0.88446,0.71582,0.87059,0.92508,1.07031,0.001604,0.001604,0.001604
12,8679.17,1.17088,0.80592,1.10004,0.86298,0.94565,0.9612,0.78434,0.7638,0.57847,1.01718,0.0015644,0.0015644,0.0015644
13,9528.81,1.17392,0.7821,1.08461,0.96347,0.86011,0.96627,0.75785,0.82509,0.6048,1.06748,0.0015248,0.0015248,0.0015248
14,10379.5,1.16296,0.75373,1.08528,0.98732,0.84652,0.94459,0.77119,0.77985,0.60532,1.02826,0.0014852,0.0014852,0.0014852
15,11233.1,1.15503,0.75317,1.0857,0.92988,0.90217,0.95045,0.76934,0.77219,0.56795,1.01583,0.0014456,0.0014456,0.0014456
16,12297.9,1.13687,0.71657,1.07109,0.9431,0.90084,0.95276,0.75988,0.75537,0.56742,1.04959,0.001406,0.001406,0.001406
17,13333.2,1.14564,0.71015,1.06572,0.92519,0.94107,0.96969,0.75335,0.83699,0.5534,1.05139,0.0013664,0.0013664,0.0013664
18,14382.3,1.12305,0.7028,1.08063,0.86801,0.92933,0.95891,0.81123,0.67106,0.50929,0.97399,0.0013268,0.0013268,0.0013268
19,15172.5,1.10299,0.67994,1.05537,0.89082,0.97826,0.97548,0.78453,0.76909,0.49168,1.00592,0.0012872,0.0012872,0.0012872
20,15905.9,1.0714,0.66241,1.04121,0.98049,0.8913,0.96798,0.81839,0.6945,0.45521,0.96373,0.0012476,0.0012476,0.0012476
21,16633.8,1.09867,0.67583,1.0675,0.94876,0.90217,0.96312,0.82054,0.64314,0.4574,0.93404,0.001208,0.001208,0.001208
22,17347.3,1.098,0.66294,1.04958,0.95589,0.94226,0.9828,0.81728,0.72176,0.43986,0.9817,0.0011684,0.0011684,0.0011684
23,18080.3,1.04398,0.62691,1.03902,0.91316,0.94565,0.97377,0.82848,0.6316,0.44099,0.939,0.0011288,0.0011288,0.0011288
24,18805.6,1.07533,0.61934,1.0462,0.92473,0.94565,0.97729,0.81626,0.7088,0.44026,0.96898,0.0010892,0.0010892,0.0010892
25,19524.2,1.04876,0.62162,1.03908,0.94141,0.93478,0.96971,0.83573,0.64101,0.39976,0.93661,0.0010496,0.0010496,0.0010496
26,20215.5,1.04577,0.58422,1.04301,0.97654,0.90508,0.96584,0.83002,0.62449,0.41753,0.92811,0.00101,0.00101,0.00101
27,20920.9,1.01713,0.58544,1.02033,0.89966,0.9746,0.97941,0.82905,0.65884,0.40018,0.93242,0.0009704,0.0009704,0.0009704
28,21591.1,1.01932,0.57981,1.03024,0.95447,0.91141,0.96997,0.83678,0.65726,0.43967,0.92765,0.0009308,0.0009308,0.0009308
29,22297.5,1.01456,0.57127,1.01514,0.95503,0.92342,0.97511,0.83498,0.61913,0.39901,0.92735,0.0008912,0.0008912,0.0008912
30,22988.7,1.01559,0.5676,1.02671,0.97381,0.93478,0.97639,0.83616,0.66205,0.41483,0.93025,0.0008516,0.0008516,0.0008516
31,23778.7,0.99245,0.54858,1.01648,0.96533,0.94565,0.99029,0.82363,0.70374,0.38793,0.94888,0.000812,0.000812,0.000812
32,24587.3,0.97806,0.53927,1.00576,0.97798,0.96548,0.98938,0.84629,0.62933,0.3678,0.92257,0.0007724,0.0007724,0.0007724
33,25325.5,0.97698,0.53674,0.99649,0.98867,0.9483,0.99245,0.81006,0.74696,0.37654,0.96859,0.0007328,0.0007328,0.0007328
34,26152.4,0.97394,0.52917,1.00365,0.95639,0.95348,0.98675,0.86064,0.59554,0.36432,0.91106,0.0006932,0.0006932,0.0006932
35,26985,0.97184,0.52898,1.00231,0.98585,0.93478,0.98715,0.82677,0.69849,0.37796,0.94762,0.0006536,0.0006536,0.0006536
36,27757,0.95113,0.51539,0.99151,0.96669,0.96739,0.99209,0.85994,0.62475,0.33991,0.91541,0.000614,0.000614,0.000614
37,28774.3,0.96061,0.51468,0.99831,0.93675,0.92391,0.97261,0.85445,0.62082,0.38798,0.91235,0.0005744,0.0005744,0.0005744
38,29849.2,0.93435,0.50827,0.99669,0.9212,0.96739,0.97825,0.84203,0.63259,0.37848,0.91866,0.0005348,0.0005348,0.0005348
39,30686.7,0.95192,0.50871,0.98631,0.98623,0.93478,0.98314,0.86258,0.60525,0.34961,0.90578,0.0004952,0.0004952,0.0004952
40,31516.3,0.92103,0.48702,0.98425,0.97604,0.96739,0.99112,0.86202,0.61362,0.32714,0.91001,0.0004556,0.0004556,0.0004556
41,32324,0.98133,0.49996,0.98339,0.95302,0.96739,0.98495,0.85952,0.59431,0.34958,0.89805,0.000416,0.000416,0.000416
42,33175.1,0.94297,0.45565,0.99106,0.96733,0.9656,0.99048,0.85828,0.58245,0.30977,0.90029,0.0003764,0.0003764,0.0003764
43,34059.3,0.9367,0.45584,0.97557,0.98411,0.93478,0.99034,0.86068,0.59955,0.32209,0.90186,0.0003368,0.0003368,0.0003368
44,34847.7,0.91677,0.45552,0.96651,0.95728,0.9743,0.98914,0.86577,0.59015,0.3205,0.90055,0.0002972,0.0002972,0.0002972
45,35526.8,0.90916,0.43737,0.96573,0.96739,0.96721,0.99062,0.87753,0.57276,0.30766,0.89475,0.0002576,0.0002576,0.0002576
46,36173.2,0.92459,0.44469,0.97695,0.96355,0.98913,0.99161,0.86663,0.58212,0.30018,0.89549,0.000218,0.000218,0.000218
47,36822.3,0.88047,0.42023,0.96107,0.97849,0.98906,0.99209,0.86764,0.59527,0.29332,0.89955,0.0001784,0.0001784,0.0001784
48,37473.2,0.87229,0.41458,0.9638,0.98887,0.96574,0.99287,0.86952,0.56184,0.28911,0.88894,0.0001388,0.0001388,0.0001388
49,38124.2,0.85867,0.40546,0.94822,0.98538,0.97826,0.99329,0.87239,0.56138,0.27389,0.8872,9.92e-05,9.92e-05,9.92e-05
50,38770.1,0.85308,0.40487,0.95579,0.97509,0.96739,0.99189,0.87358,0.55865,0.27996,0.88593,5.96e-05,5.96e-05,5.96e-05
